"DateTime";"240291601000052 - Total batería";"240291601000052 - Máx. celda";"240291601000052 - Mín. celda"
"2025-02-04 23:46:34";26,5;3331;3299
"2025-02-04 23:51:45";26,5;3331;3299
"2025-02-04 23:56:57";26,5;3330;3299
"2025-02-05 00:02:13";26,5;3330;3299
"2025-02-05 00:07:24";26,5;3330;3299
"2025-02-05 00:12:36";26,5;3330;3299
"2025-02-05 00:17:47";26,5;3330;3298
"2025-02-05 00:22:58";26,5;3329;3298
"2025-02-05 00:28:12";26,5;3329;3298
"2025-02-05 00:33:23";26,5;3329;3298
"2025-02-05 00:38:35";26,5;3329;3298
"2025-02-05 00:43:46";26,5;3329;3298
"2025-02-05 00:48:58";26,5;3328;3298
"2025-02-05 00:54:11";26,5;3328;3297
"2025-02-05 00:59:23";26,5;3328;3297
"2025-02-05 01:04:34";26,5;3328;3297
"2025-02-05 01:09:46";26,5;3328;3297
"2025-02-05 01:14:57";26,5;3328;3296
"2025-02-05 01:20:11";26,5;3327;3297
"2025-02-05 01:25:22";26,5;3327;3296
"2025-02-05 01:30:33";26,5;3327;3296
"2025-02-05 01:35:45";26,5;3327;3296
"2025-02-05 01:40:56";26,5;3327;3296
"2025-02-05 01:46:10";26,5;3326;3296
"2025-02-05 01:51:21";26,5;3327;3296
"2025-02-05 01:56:33";26,5;3326;3295
"2025-02-05 02:01:44";26,5;3326;3296
"2025-02-05 02:06:56";26,5;3326;3295
"2025-02-05 02:12:09";26,5;3326;3295
"2025-02-05 02:17:21";26,5;3326;3295
"2025-02-05 02:22:32";26,5;3326;3294
"2025-02-05 02:27:43";26,5;3326;3294
"2025-02-05 02:32:55";26,5;3326;3294
"2025-02-05 02:38:09";26,5;3326;3294
"2025-02-05 02:43:20";26,5;3326;3294
"2025-02-05 02:48:31";26,5;3326;3294
"2025-02-05 02:53:43";26,5;3326;3294
"2025-02-05 02:58:54";26,5;3326;3294
"2025-02-05 03:04:08";26,5;3326;3294
"2025-02-05 03:09:19";26,5;3326;3294
"2025-02-05 03:14:31";26,5;3326;3293
"2025-02-05 03:19:42";26,5;3326;3293
"2025-02-05 03:24:53";26,5;3326;3293
